user_id,product_id,interaction_type,timestamp
jEO3DqA882d9kXKcTJZfzQH9Wfk1,B0D8FGGRMR,like,2025-04-07T21:16:26.876573
jEO3DqA882d9kXKcTJZfzQH9Wfk1,B0CYHGTMNH,like,2025-04-07T21:22:25.076728
jEO3DqA882d9kXKcTJZfzQH9Wfk1,B085F2DYMM,like,2025-04-07T21:23:09.206663
jEO3DqA882d9kXKcTJZfzQH9Wfk1,B01DMTWSZA,like,2025-04-07T21:23:16.373074
jEO3DqA882d9kXKcTJZfzQH9Wfk1,B0D2X7DCG5,like,2025-04-07T21:23:23.029864
jEO3DqA882d9kXKcTJZfzQH9Wfk1,B0CJX8NNN7,like,2025-04-07T21:23:32.659979
jEO3DqA882d9kXKcTJZfzQH9Wfk1,B09J8V9RQQ,like,2025-04-07T21:23:42.047905
jEO3DqA882d9kXKcTJZfzQH9Wfk1,B0CPLC5TGT,like,2025-04-07T21:23:46.904876
jEO3DqA882d9kXKcTJZfzQH9Wfk1,B0CV4WNKHT,like,2025-04-07T21:23:49.481824
jEO3DqA882d9kXKcTJZfzQH9Wfk1,B0C4CV59PR,like,2025-04-07T21:23:59.897279
jEO3DqA882d9kXKcTJZfzQH9Wfk1,B0C39S747F,like,2025-04-07T21:24:04.307777
jEO3DqA882d9kXKcTJZfzQH9Wfk1,B0CG8ST27P,like,2025-04-07T21:24:12.096640
jEO3DqA882d9kXKcTJZfzQH9Wfk1,B0D9FBWF8L,like,2025-04-07T21:24:17.614258
jEO3DqA882d9kXKcTJZfzQH9Wfk1,B0D3216K2G,like,2025-04-07T21:24:20.991883
jEO3DqA882d9kXKcTJZfzQH9Wfk1,B0D3216K2G,like,2025-04-07T21:31:43.683633
CaCcxez1a5hZhwO6cEUS47nTu9D2,B0D4V2MJ9K,like,2025-04-07T21:32:31.405152
CaCcxez1a5hZhwO6cEUS47nTu9D2,B0CT6RHB8C,dislike,2025-04-07T22:03:57.018827
CaCcxez1a5hZhwO6cEUS47nTu9D2,B0BSMPK2G3,dislike,2025-04-07T22:04:03.967849
jEO3DqA882d9kXKcTJZfzQH9Wfk1,B0D8FGGRMR,dislike,2025-04-07T22:04:37.360861
jEO3DqA882d9kXKcTJZfzQH9Wfk1,B07B2XYGH5,dislike,2025-04-07T22:04:43.602447
jEO3DqA882d9kXKcTJZfzQH9Wfk1,B0D6R5GGX4,dislike,2025-04-07T22:04:49.945961
jEO3DqA882d9kXKcTJZfzQH9Wfk1,B0C4CV59PR,dislike,2025-04-07T22:04:54.966873
jEO3DqA882d9kXKcTJZfzQH9Wfk1,B09N6JKC34,dislike,2025-04-07T22:05:27.118732
tTxLcRpvGffXfE8uBgw1b6MeVxO2,B0CKPGLDSH,dislike,2025-04-07T22:06:04.243036
tTxLcRpvGffXfE8uBgw1b6MeVxO2,B0D6R5GGX4,dislike,2025-04-07T22:06:07.940063
tTxLcRpvGffXfE8uBgw1b6MeVxO2,B0DFCGL63W,dislike,2025-04-07T22:06:14.534813
tTxLcRpvGffXfE8uBgw1b6MeVxO2,B0CNBS4PLK,like,2025-04-07T22:06:24.875903
tTxLcRpvGffXfE8uBgw1b6MeVxO2,B0D3216K2G,dislike,2025-04-07T22:06:34.107453
tTxLcRpvGffXfE8uBgw1b6MeVxO2,B0CHMLXMX2,dislike,2025-04-07T22:06:51.937384
tTxLcRpvGffXfE8uBgw1b6MeVxO2,B004OUXY7S,like,2025-04-07T22:07:17.103360
e0aTZkpTnsSsvHpRMIFWm2UguJM2,B09D9P3PPV,dislike,2025-04-07T22:07:42.098417
e0aTZkpTnsSsvHpRMIFWm2UguJM2,B0CKPGLDSH,dislike,2025-04-07T22:07:48.747354
e0aTZkpTnsSsvHpRMIFWm2UguJM2,B0CDMXTL5W,like,2025-04-07T22:07:52.837659
e0aTZkpTnsSsvHpRMIFWm2UguJM2,B00N9506RA,dislike,2025-04-07T22:08:05.954824
e0aTZkpTnsSsvHpRMIFWm2UguJM2,B08P4YPB8Q,dislike,2025-04-07T22:08:15.475536
e0aTZkpTnsSsvHpRMIFWm2UguJM2,B00UTLTC1S,like,2025-04-07T22:08:18.649878
e0aTZkpTnsSsvHpRMIFWm2UguJM2,B08QRQMLVY,dislike,2025-04-07T22:08:55.309932
e0aTZkpTnsSsvHpRMIFWm2UguJM2,B0D2X7DCG5,like,2025-04-07T23:30:35.433205
lIlU2BPfL2WSHTTnjoSFZ6H9lJM2,B0CJXJY4JW,like,2025-04-07T23:30:54.593768
lIlU2BPfL2WSHTTnjoSFZ6H9lJM2,B0D3216K2G,like,2025-04-07T23:31:00.715012
lIlU2BPfL2WSHTTnjoSFZ6H9lJM2,B0869GGZHW,like,2025-04-07T23:31:19.795103
lIlU2BPfL2WSHTTnjoSFZ6H9lJM2,B0D9KPLRY4,like,2025-04-07T23:46:16.350750
lIlU2BPfL2WSHTTnjoSFZ6H9lJM2,B0C1XMK4LM,like,2025-04-07T23:46:22.129687
lIlU2BPfL2WSHTTnjoSFZ6H9lJM2,B09LYY9G6N,like,2025-04-07T23:46:28.902743
lIlU2BPfL2WSHTTnjoSFZ6H9lJM2,B07GP6V695,like,2025-04-07T23:48:45.404345
lIlU2BPfL2WSHTTnjoSFZ6H9lJM2,B07GP6V695,like,2025-04-07T23:52:53.433428
lIlU2BPfL2WSHTTnjoSFZ6H9lJM2,B00CPEZ040,dislike,2025-04-07T23:52:58.094179
lIlU2BPfL2WSHTTnjoSFZ6H9lJM2,B07YSH9VF4,like,2025-04-07T23:53:07.888538
lIlU2BPfL2WSHTTnjoSFZ6H9lJM2,B003USDG78,like,2025-04-07T23:53:14.669856
lIlU2BPfL2WSHTTnjoSFZ6H9lJM2,B0094GO9DA,like,2025-04-07T23:53:20.545318
lIlU2BPfL2WSHTTnjoSFZ6H9lJM2,B0002XGHCK,dislike,2025-04-07T23:53:26.324047
lIlU2BPfL2WSHTTnjoSFZ6H9lJM2,B0CLZ46VZT,dislike,2025-04-07T23:53:40.053189
lIlU2BPfL2WSHTTnjoSFZ6H9lJM2,B00450QOV0,like,2025-04-07T23:53:46.625599
